Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Web_Visit,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Spending,Accept_Offer,Num_Purchase,Enrolled_Days,Children,Cluster
Bachelor,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,67,1617,1,25,663,0,2
Bachelor,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,70,27,0,6,113,2,1
Bachelor,Relationship,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,59,776,0,21,312,0,2
Bachelor,Relationship,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,40,53,0,8,139,1,1
PhD,Married,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,43,422,0,19,161,1,2
Master,Relationship,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,57,716,0,22,293,1,2
Bachelor,Divorced,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,53,590,0,21,593,1,2
PhD,Married,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,39,169,0,10,417,1,1
PhD,Relationship,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,50,46,1,6,388,1,1
PhD,Relationship,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,74,49,1,2,108,2,1
Basic,Married,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,48,61,0,6,593,0,1
Bachelor,Divorced,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,65,1102,0,16,226,0,2
